titles,genre,developers,publishers
Command & Conquer 3: Kane's Wrath,RTS,EA Los Angeles,Electronic Arts
Command & Conquer 3: Tiberium Wars,RTS,EA Los Angeles,Electronic Arts
Command & Conquer: Red Alert 3,RTS,EA Los Angeles,Electronic Arts
Command & Conquer: Red Alert 3 – Commander's Challenge,Strategy & Simulation,EA Los Angeles,Electronic Arts
Commanders: Attack of the Genos,Platformer,Southend Interactive,Activision
Conan,"Action-adventure, Platformer",Nihilistic Software,THQ
Condemned 2: Bloodshot,Survival Horror,Monolith Productions,Sega
Condemned: Criminal Origins[note 9],Survival horror,Monolith Productions,Sega
Conflict: Denied Ops,Tactical Shooter,Pivotal Games,Eidos Interactive
Constant C,Platformer,International Games System,Mages
Contra,Classics,Konami/Digital Eclipse,Konami
Contrast,Action & Adventure,Compulsion Games,Focus Home Interactive
Costume Quest,Action & Adventure,Double Fine Productions,THQ
Costume Quest 2,Action & Adventure,Double Fine Productions,Midnight City
Counter-Strike: Global Offensive,Shooter,Valve,Valve
Country Dance All Stars,"Music, Rhythm",High Voltage Software,GameMill Entertainment
Crackdown,"Third-person Shooter, Action-adventure, Open World",Real Time Worlds,Xbox Game Studios
Crackdown 2,"Third-person Shooter, Open World",Ruffian Games,Xbox Game Studios
Crash of the Titans,Platform,Radical Entertainment,Vivendi Games
Crash Time II: Burning Wheels,Racing Mission,Synetic,RTL Games
Crash Time III: Highway Nights,Racing Mission,Synetic,RTL Games
Crash Time IV: The Syndicate,Racing Mission,Synetic,dtp entertainment
Crash Time V: Undercover,Racing Mission,Synetic,dtp entertainment
Crash Time: Autobahn Pursuit,Racing Mission,Synetic,"Crave Entertainment, RTL GamesEU"
Crash: Mind over Mutant,Platform,Radical Entertainment,ActivisionVivendi Games
Crazy Machines Elements,Puzzle & Trivia,FAKT Software,dtp entertainment
Crazy Taxi,Racing & Flying,Hitmaker,Sega
CrazyMouseCrazyMouse,Action & Adventure,Ultizen Games,Xbox Game Studios
Create,Open World,EA Bright Light,Electronic Arts
Crimson Alliance,Role-playing,Certain Affinity,Xbox Game Studios
Cross Channel: In Memory of All People,Visual novel,Flying Shine,Cyberfront
Cross Edge Dash,Tactical Role-playing,Compile Heart,Compile Heart
Crysis,First-person shooter,Crytek,Electronic Arts
Crysis 2,First-person shooter,Crytek,Electronic Arts
Crysis 3,First-person shooter,Crytek,Electronic Arts
Crystal Defenders,Strategy & Simulation,Square Enix,Square Enix
Crystal Quest,Shooter,Stainless Games,Xbox Game Studios
CSI: Deadly Intent,Adventure,Telltale Games,Ubisoft
CSI: Fatal Conspiracy,Adventure,Telltale Games,Ubisoft
CSI: Hard Evidence,Adventure,Telltale Games,Ubisoft
Culdcept Saga,"Board Game, Card Based","Omiya Soft, Jamsworks",Namco Bandai Games
Cyber Troopers Virtual-On,"Tank & Mecha Sim, Action",Hitmaker,Sega
Cyber Troopers Virtual-On Force,"Tank & Mecha Sim, Action",Hitmaker,Sega
Cyberball 2072,Classics,Midway Games/Digital Eclipse,Midway Games
Damage Inc. Pacific Squadron WW2,Combat flight simulation game,Trickstar Games,Mad Catz Interactive
Damnation,Third-person Shooter,Blue Omega,Codemasters
Dance Central,"Music, Rhythm",Harmonix Music Systems,MTV Games
Dance Central 2,"Music, Rhythm",Harmonix Music Systems,MTV Games
Dance Central 3,"Music, Rhythm",Harmonix Music Systems,MTV Games and Xbox Game Studios
Dance Dance Revolution,Music,Konami,Konami
Dance Dance Revolution Universe[note 10],Music,Konami,Konami
Dance Dance Revolution Universe 2'Dancing Stage Universe 2 in Europe.</ref>,Music,Konami,Konami
Dance Dance Revolution Universe 3,Music,Konami,Konami
Dance Evolution (DanceMasters in NA),"Music, Rhythm",Konami,Konami
Dance Paradise,"Music, Rhythm",Mindscape,Universal Music
Dance! It's Your Stage,Family & Educational,Sproing,dtp entertainment
Dante's Inferno,"Platformer, Hack & Slash, Action-adventure, Third-person",EA Redwood Shores,Electronic Arts
Dark,"Stealth, Action Role-playing",Realmforge Studios,Kalypso Media
Dark Messiah of Might and Magic: Elements,"First-person shooter, Action Role-playing",Ubisoft Annecy,Ubisoft
Dark Sector,"Third-person Shooter, Action",Digital Extremes,D3 Publisher
Dark Souls,Action Role-playing,FromSoftware,"Namco Bandai Games, From SoftwareJP"
